slang,formal
"Aduh yaelah, loe bucin banget!...","Astaga, saudara budak cinta sekali!."
"Aduh yhaa, loe gabut banget! dah","Astaga, saudara tidak produktif sekali!"
"Aduh waduh, kamu ambyar banget!...","Astaga, saudara hancur sekali!!"
"Aduh anjir, ente jomblo banget! dah","Astaga, Anda tidak punya pasangan sekali!."
"Aduh anjir, kamu bucin banget!!","Astaga, saudara budak cinta sekali!!"
"Aduh dah, elo santuy banget!...","Astaga, kamu santai sekali!!"
"Aduh wkwk, you baper banget! dah","Astaga, Anda terlalu sensitif sekali!"
"Aduh wkwk, ente bucin banget! dah","Astaga, saudara budak cinta sekali!."
kamu troll banget dah...,kamu mengganggu sekali.
"Aduh siap, ente gercep banget!!","Astaga, saudara cepat sekali!."
you tuh bucin banget sih,Anda benar-benar budak cinta!
Jangan selow dong loe!,"Tolong jangan santai, Anda"
"Mabar yuk kamu, gw selow nih!","Bermain bersama yuk saudara, saya santai!"
Jangan ghosting dong elo,"Tolong jangan menghilang, saudara."
"Aduh wkwk, loe garing banget!...","Astaga, saudara membosankan sekali!"
"Aduh dah, lu syulit banget!","Astaga, kamu sulit sekali!"
"Aduh siap, loe gercep banget!...","Astaga, saudara cepat sekali!."
"Aduh dah, lu alay banget!!","Astaga, kamu norak sekali!"
"Mabar yuk loe, gw ghosting nih","Bermain bersama yuk saudara, saya menghilang"
"Aduh anjir, you alay banget! dah","Astaga, saudara norak sekali!"
Jangan mabar dong ente!,"Tolong jangan main bersama, kamu"
"Aduh waduh, lu mantul banget!!","Astaga, Anda mantap sekali!."
loe tuh mantul banget sih...,saudara benar-benar mantap.
"Aduh haha, you mantul banget!...","Astaga, Anda mantap sekali!"
"Aduh yhaa, you jomblo banget!","Astaga, kamu tidak punya pasangan sekali!!"
"Aduh haha, lu ambyar banget! dah","Astaga, Anda hancur sekali!."
"Aduh njir, ente jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
"Aduh anjir, kamu jomblo banget!","Astaga, saudara tidak punya pasangan sekali!!"
"Aduh wkwk, kamu ajib banget!","Astaga, kamu hebat sekali!"
"Aduh dah, ente ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh deck, elo bucin banget!!","Astaga, Anda budak cinta sekali!!"
"Aduh haha, elo gercep banget! dah","Astaga, saudara cepat sekali!!"
"Aduh deck, kamu ajib banget!","Astaga, saudara hebat sekali!"
"Aduh dah, loe gercep banget!...","Astaga, Anda cepat sekali!."
you tuh kepo banget sih,saudara benar-benar penasaran
Jangan mabar dong kamu dah,"Tolong jangan main bersama, Anda"
"Aduh deck, loe kepo banget! dah","Astaga, saudara penasaran sekali!."
"Aduh anjir, you jomblo banget!!","Astaga, kamu tidak punya pasangan sekali!"
ente tuh galau banget sih...,saudara benar-benar sedih!
"Aduh yhaa, elo mager banget! dah","Astaga, kamu malas gerak sekali!."
"Aduh siap, you gercep banget!!","Astaga, saudara cepat sekali!"
kamu tuh cepet banget sih dah,saudara benar-benar cepat
you tuh kepo banget sih dah,saudara benar-benar penasaran.
ente sokin banget dah dah,kamu fokus sekali!
"Aduh anjir, kamu gabut banget!...","Astaga, kamu tidak produktif sekali!"
"Aduh siap, elo kepo banget!!","Astaga, saudara penasaran sekali!"
"Aduh yhaa, elo mantul banget!","Astaga, Anda mantap sekali!"
"Aduh wkwk, lu cepet banget!...","Astaga, kamu cepat sekali!."
"Aduh haha, elo baper banget! dah","Astaga, Anda terlalu sensitif sekali!"
"Aduh wkwk, ente galau banget!","Astaga, Anda sedih sekali!!"
"Aduh waduh, loe santuy banget!!","Astaga, saudara santai sekali!!"
"Aduh njir, loe ambyar banget!...","Astaga, Anda hancur sekali!."
"Aduh njir, elo galau banget!...","Astaga, kamu sedih sekali!!"
"Aduh yaelah, you baper banget!...","Astaga, saudara terlalu sensitif sekali!."
"Aduh haha, elo santuy banget!...","Astaga, kamu santai sekali!!"
"Aduh anjir, kamu jomblo banget!!","Astaga, saudara tidak punya pasangan sekali!!"
Jangan ribut dong kamu dah,"Tolong jangan berdebat, saudara!"
"Aduh yhaa, kamu cepet banget! dah","Astaga, saudara cepat sekali!!"
Jangan japri dong kamu dah,"Tolong jangan kirim pesan pribadi, kamu"
"Aduh deck, loe alay banget!","Astaga, kamu norak sekali!"
"Aduh yhaa, ente garing banget!...","Astaga, saudara membosankan sekali!."
"Aduh njir, you gabut banget!!","Astaga, kamu tidak produktif sekali!!"
"Aduh waduh, loe alay banget!...","Astaga, kamu norak sekali!"
"Aduh siap, lu ngehe banget!...","Astaga, Anda menjengkelkan sekali!!"
"Aduh yhaa, you baper banget!!","Astaga, saudara terlalu sensitif sekali!"
"Aduh wkwk, ente santuy banget!...","Astaga, Anda santai sekali!"
"Aduh wkwk, ente ngehe banget! dah","Astaga, kamu menjengkelkan sekali!!"
"Aduh haha, elo kepo banget!","Astaga, kamu penasaran sekali!."
"Aduh siap, ente mantul banget!...","Astaga, kamu mantap sekali!"
"Aduh deck, kamu tajir banget!","Astaga, kamu kaya sekali!."
"Aduh haha, loe jomblo banget!","Astaga, kamu tidak punya pasangan sekali!."
"Aduh waduh, loe gemoy banget!!","Astaga, kamu menggemaskan sekali!!"
"Aduh dah, loe gemoy banget!!","Astaga, Anda menggemaskan sekali!."
"Aduh anjir, loe gabut banget!...","Astaga, Anda tidak produktif sekali!!"
"Aduh wkwk, you baper banget!!","Astaga, Anda terlalu sensitif sekali!!"
"Aduh yaelah, kamu syulit banget!!","Astaga, saudara sulit sekali!"
Jangan japri dong lu!,"Tolong jangan kirim pesan pribadi, kamu."
"Aduh yhaa, lu ajib banget!","Astaga, Anda hebat sekali!"
"Aduh yaelah, you lebay banget! dah","Astaga, kamu berlebihan sekali!."
"Aduh wkwk, elo galau banget!","Astaga, saudara sedih sekali!"
"Aduh yhaa, you tajir banget!!","Astaga, kamu kaya sekali!."
"Aduh deck, elo gercep banget! dah","Astaga, Anda cepat sekali!"
"Aduh waduh, elo ngehe banget! dah","Astaga, kamu menjengkelkan sekali!!"
"Aduh njir, kamu gemoy banget! dah","Astaga, Anda menggemaskan sekali!."
"Aduh njir, lu mantul banget! dah","Astaga, saudara mantap sekali!!"
"Aduh dah, elo ajib banget! dah","Astaga, kamu hebat sekali!!"
"Aduh njir, lu garing banget! dah","Astaga, saudara membosankan sekali!"
"Aduh yhaa, elo tajir banget!!","Astaga, Anda kaya sekali!."
Jangan gaskeun dong you dah,"Tolong jangan bersungguh-sungguh, saudara"
"Aduh waduh, lu tajir banget!","Astaga, Anda kaya sekali!!"
"Aduh anjir, you baper banget! dah","Astaga, kamu terlalu sensitif sekali!."
"Aduh yaelah, you mager banget!!","Astaga, kamu malas gerak sekali!!"
"Aduh waduh, elo ngehe banget!","Astaga, kamu menjengkelkan sekali!!"
"Aduh waduh, elo alay banget!","Astaga, kamu norak sekali!"
"Aduh waduh, elo ngehe banget!...","Astaga, kamu menjengkelkan sekali!"
Jangan ghosting dong loe!,"Tolong jangan menghilang, kamu"
"Aduh anjir, kamu syulit banget!...","Astaga, saudara sulit sekali!."
"Aduh waduh, elo galau banget!...","Astaga, kamu sedih sekali!."
"Aduh wkwk, ente santuy banget!!","Astaga, Anda santai sekali!"
lu sokin banget dah dah,kamu fokus sekali
"Aduh anjir, you lebay banget!...","Astaga, saudara berlebihan sekali!"
"Aduh yhaa, loe mager banget! dah","Astaga, Anda malas gerak sekali!"
"Aduh yhaa, ente gercep banget!...","Astaga, saudara cepat sekali!"
"Aduh waduh, loe syulit banget! dah","Astaga, kamu sulit sekali!."
"Aduh deck, loe mager banget!...","Astaga, saudara malas gerak sekali!!"
"Aduh haha, lu cepet banget!...","Astaga, saudara cepat sekali!."
"Aduh wkwk, loe ambyar banget!!","Astaga, kamu hancur sekali!"
"Aduh njir, loe syulit banget! dah","Astaga, Anda sulit sekali!."
"Mabar yuk loe, gw unfriend nih dah","Bermain bersama yuk kamu, saya hapus pertemanan"
elo nyok banget dah...,kamu ayo sekali
"Aduh wkwk, ente cepet banget! dah","Astaga, kamu cepat sekali!."
"Aduh anjir, loe gercep banget! dah","Astaga, saudara cepat sekali!."
"Aduh waduh, loe alay banget!","Astaga, kamu norak sekali!!"
"Aduh siap, you bucin banget!...","Astaga, saudara budak cinta sekali!!"
"Aduh siap, loe mager banget!!","Astaga, kamu malas gerak sekali!!"
"Aduh njir, you garing banget!...","Astaga, saudara membosankan sekali!!"
"Aduh siap, you garing banget!","Astaga, saudara membosankan sekali!!"
"Aduh siap, kamu bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh waduh, kamu tajir banget!","Astaga, kamu kaya sekali!!"
"Aduh dah, you ambyar banget!!","Astaga, kamu hancur sekali!."
"Aduh haha, elo jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Aduh yaelah, ente kepo banget!!","Astaga, kamu penasaran sekali!"
"Aduh njir, elo kepo banget!!","Astaga, Anda penasaran sekali!"
"Aduh yaelah, loe gabut banget! dah","Astaga, saudara tidak produktif sekali!"
"Aduh haha, kamu tajir banget!...","Astaga, Anda kaya sekali!."
"Aduh yhaa, loe cepet banget!","Astaga, kamu cepat sekali!."
"Aduh deck, elo garing banget!...","Astaga, saudara membosankan sekali!."
"Aduh dah, kamu syulit banget! dah","Astaga, kamu sulit sekali!"
"Aduh dah, kamu bucin banget!...","Astaga, kamu budak cinta sekali!."
Jangan troll dong elo,"Tolong jangan mengganggu, Anda"
"Aduh yhaa, kamu alay banget!!","Astaga, saudara norak sekali!."
you unfriend banget dah!,saudara hapus pertemanan sekali.
"Aduh waduh, kamu lebay banget!!","Astaga, saudara berlebihan sekali!."
"Aduh yaelah, loe galau banget!!","Astaga, Anda sedih sekali!"
"Aduh haha, loe galau banget!...","Astaga, saudara sedih sekali!"
"Aduh anjir, elo kepo banget!","Astaga, saudara penasaran sekali!."
ente selow banget dah,saudara santai sekali.
"Mabar yuk ente, gw flexing nih dah","Bermain bersama yuk saudara, saya pamer."
loe tuh mantul banget sih dah,saudara benar-benar mantap
"Aduh haha, lu ngehe banget!!","Astaga, saudara menjengkelkan sekali!"
"Aduh yhaa, you ambyar banget!!","Astaga, saudara hancur sekali!."
"Aduh yaelah, elo ambyar banget! dah","Astaga, kamu hancur sekali!"
"Mabar yuk elo, gw sokin nih","Bermain bersama yuk Anda, saya fokus."
"Aduh dah, loe santuy banget! dah","Astaga, saudara santai sekali!"
"Aduh haha, loe garing banget!","Astaga, saudara membosankan sekali!."
"Aduh haha, ente ajib banget!!","Astaga, Anda hebat sekali!"
"Mabar yuk elo, gw sokin nih","Bermain bersama yuk Anda, saya fokus"
Jangan nyok dong elo!,"Tolong jangan ayo, saudara."
you block banget dah dah,kamu blokir sekali.
elo tuh tajir banget sih!,Anda benar-benar kaya
"Aduh dah, you bucin banget!!","Astaga, kamu budak cinta sekali!"
"Aduh yhaa, ente garing banget! dah","Astaga, saudara membosankan sekali!!"
"Aduh siap, elo syulit banget!","Astaga, Anda sulit sekali!"
"Aduh dah, loe santuy banget!...","Astaga, saudara santai sekali!!"
"Aduh haha, you ajib banget!","Astaga, saudara hebat sekali!"
"Aduh waduh, elo ambyar banget!...","Astaga, Anda hancur sekali!!"
"Aduh wkwk, you ajib banget! dah","Astaga, kamu hebat sekali!."
ente tuh gabut banget sih!,Anda benar-benar tidak produktif!
"Aduh anjir, loe galau banget!...","Astaga, Anda sedih sekali!"
"Aduh waduh, kamu ambyar banget!","Astaga, saudara hancur sekali!."
"Aduh waduh, kamu lebay banget! dah","Astaga, saudara berlebihan sekali!!"
kamu block banget dah!,kamu blokir sekali!
"Aduh njir, you santuy banget!...","Astaga, kamu santai sekali!."
loe tuh lebay banget sih...,saudara benar-benar berlebihan!
"Aduh dah, elo gabut banget!...","Astaga, kamu tidak produktif sekali!!"
loe troll banget dah...,saudara mengganggu sekali
you japri banget dah...,kamu kirim pesan pribadi sekali.
loe tuh lebay banget sih dah,saudara benar-benar berlebihan!
"Aduh haha, lu mager banget!","Astaga, Anda malas gerak sekali!!"
"Mabar yuk kamu, gw flexing nih","Bermain bersama yuk saudara, saya pamer!"
"Aduh siap, you ngehe banget!","Astaga, Anda menjengkelkan sekali!"
"Aduh siap, loe bucin banget!!","Astaga, Anda budak cinta sekali!."
"Aduh anjir, you ambyar banget! dah","Astaga, Anda hancur sekali!."
"Aduh yaelah, you garing banget!","Astaga, kamu membosankan sekali!!"
"Aduh yaelah, elo bucin banget!","Astaga, kamu budak cinta sekali!!"
"Mabar yuk loe, gw flexing nih dah","Bermain bersama yuk saudara, saya pamer!"
"Mabar yuk you, gw jadian nih...","Bermain bersama yuk kamu, saya berhubungan."
"Aduh haha, ente syulit banget!...","Astaga, kamu sulit sekali!."
"Aduh yhaa, you syulit banget!","Astaga, saudara sulit sekali!"
"Aduh dah, you ajib banget!...","Astaga, Anda hebat sekali!"
"Aduh yaelah, you mantul banget!","Astaga, Anda mantap sekali!"
"Aduh yaelah, you baper banget!","Astaga, saudara terlalu sensitif sekali!."
"Aduh siap, you ajib banget!...","Astaga, Anda hebat sekali!"
"Aduh deck, loe syulit banget!...","Astaga, kamu sulit sekali!!"
"Aduh yaelah, loe mager banget!!","Astaga, kamu malas gerak sekali!."
"Aduh wkwk, you garing banget!","Astaga, saudara membosankan sekali!."
"Aduh anjir, lu gercep banget!!","Astaga, Anda cepat sekali!"
ente unfriend banget dah dah,saudara hapus pertemanan sekali
"Aduh njir, loe baper banget! dah","Astaga, Anda terlalu sensitif sekali!"
"Mabar yuk kamu, gw modus nih!","Bermain bersama yuk kamu, saya berpura-pura!"
"Aduh haha, lu gercep banget!!","Astaga, saudara cepat sekali!"
"Aduh siap, kamu ngehe banget!!","Astaga, saudara menjengkelkan sekali!!"
"Aduh waduh, kamu gabut banget!!","Astaga, Anda tidak produktif sekali!."
"Aduh anjir, lu alay banget!!","Astaga, saudara norak sekali!!"
"Aduh wkwk, lu alay banget!...","Astaga, kamu norak sekali!"
"Aduh siap, lu tajir banget!","Astaga, saudara kaya sekali!!"
"Aduh siap, lu tajir banget!...","Astaga, saudara kaya sekali!!"
"Aduh haha, you jomblo banget! dah","Astaga, saudara tidak punya pasangan sekali!"
"Aduh yaelah, you galau banget!","Astaga, kamu sedih sekali!."
"Aduh yaelah, elo galau banget! dah","Astaga, kamu sedih sekali!."
"Aduh dah, lu ambyar banget! dah","Astaga, Anda hancur sekali!."
"Aduh deck, elo bucin banget!","Astaga, Anda budak cinta sekali!!"
lu jadian banget dah,saudara berhubungan sekali.
"Aduh haha, elo bucin banget! dah","Astaga, Anda budak cinta sekali!."
kamu ghosting banget dah dah,Anda menghilang sekali
"Aduh wkwk, you kepo banget!","Astaga, kamu penasaran sekali!!"
"Aduh waduh, lu syulit banget!!","Astaga, kamu sulit sekali!!"
"Aduh dah, elo ajib banget!","Astaga, kamu hebat sekali!"
"Aduh wkwk, elo santuy banget!!","Astaga, saudara santai sekali!."
"Aduh waduh, kamu galau banget!","Astaga, Anda sedih sekali!!"
Jangan nyok dong you,"Tolong jangan ayo, Anda"
"Aduh yhaa, elo ambyar banget! dah","Astaga, saudara hancur sekali!"
"Aduh yhaa, lu mantul banget!...","Astaga, kamu mantap sekali!."
"Aduh yhaa, ente cepet banget!","Astaga, kamu cepat sekali!."
"Aduh anjir, loe mantul banget!...","Astaga, Anda mantap sekali!"
"Aduh yhaa, elo bucin banget!!","Astaga, kamu budak cinta sekali!"
Jangan block dong elo dah,"Tolong jangan blokir, kamu"
Jangan nyok dong you dah,"Tolong jangan ayo, Anda!"
"Aduh yhaa, lu lebay banget!","Astaga, kamu berlebihan sekali!"
"Aduh waduh, loe garing banget! dah","Astaga, kamu membosankan sekali!."
"Aduh njir, lu lebay banget!","Astaga, Anda berlebihan sekali!"
loe tuh gabut banget sih dah,saudara benar-benar tidak produktif
"Aduh deck, loe alay banget! dah","Astaga, kamu norak sekali!"
"Aduh haha, loe baper banget!","Astaga, kamu terlalu sensitif sekali!!"
"Aduh haha, lu ngehe banget!...","Astaga, saudara menjengkelkan sekali!."
"Aduh siap, ente galau banget!","Astaga, kamu sedih sekali!!"
"Aduh yhaa, you ambyar banget! dah","Astaga, saudara hancur sekali!"
Jangan selow dong kamu,"Tolong jangan santai, Anda."
"Aduh deck, ente mager banget! dah","Astaga, Anda malas gerak sekali!."
"Aduh waduh, kamu kepo banget!","Astaga, Anda penasaran sekali!."
"Aduh yaelah, elo bucin banget!","Astaga, kamu budak cinta sekali!."
"Aduh dah, kamu kepo banget!...","Astaga, kamu penasaran sekali!!"
"Aduh anjir, ente gabut banget!","Astaga, saudara tidak produktif sekali!"
Jangan sokin dong kamu,"Tolong jangan fokus, kamu!"
"Aduh waduh, lu ajib banget!!","Astaga, Anda hebat sekali!!"
"Aduh yaelah, kamu alay banget!...","Astaga, kamu norak sekali!."
Jangan ghosting dong kamu dah,"Tolong jangan menghilang, saudara!"
"Aduh yaelah, lu kepo banget! dah","Astaga, kamu penasaran sekali!"
you jadian banget dah!,saudara berhubungan sekali
"Mabar yuk you, gw gaskeun nih!","Bermain bersama yuk kamu, saya bersungguh-sungguh."
"Aduh yhaa, you ajib banget! dah","Astaga, saudara hebat sekali!!"
"Aduh waduh, you gemoy banget!...","Astaga, kamu menggemaskan sekali!."
"Aduh dah, elo garing banget!!","Astaga, Anda membosankan sekali!"
"Aduh siap, ente kepo banget!...","Astaga, Anda penasaran sekali!!"
"Aduh njir, ente gemoy banget!...","Astaga, Anda menggemaskan sekali!."
"Aduh haha, elo santuy banget!!","Astaga, kamu santai sekali!"
"Aduh njir, you ajib banget!","Astaga, Anda hebat sekali!."
"Aduh anjir, kamu mantul banget!!","Astaga, saudara mantap sekali!"
kamu tuh bucin banget sih!,Anda benar-benar budak cinta
"Aduh deck, lu tajir banget!!","Astaga, Anda kaya sekali!!"
"Aduh yhaa, loe santuy banget! dah","Astaga, saudara santai sekali!!"
"Aduh njir, ente syulit banget!...","Astaga, Anda sulit sekali!!"
"Aduh anjir, lu kepo banget!...","Astaga, kamu penasaran sekali!!"
"Aduh yhaa, elo galau banget! dah","Astaga, saudara sedih sekali!."
"Aduh yhaa, lu ngehe banget!","Astaga, saudara menjengkelkan sekali!."
"Aduh dah, ente garing banget! dah","Astaga, Anda membosankan sekali!"
"Aduh njir, loe mager banget!!","Astaga, kamu malas gerak sekali!!"
"Aduh haha, elo ngehe banget! dah","Astaga, kamu menjengkelkan sekali!!"
"Aduh deck, elo cepet banget!!","Astaga, saudara cepat sekali!."
"Aduh njir, kamu gercep banget!...","Astaga, Anda cepat sekali!!"
"Aduh wkwk, ente kepo banget!!","Astaga, Anda penasaran sekali!."
"Aduh dah, elo galau banget!","Astaga, kamu sedih sekali!."
ente tuh gemoy banget sih,Anda benar-benar menggemaskan.
"Aduh wkwk, loe mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh njir, loe jomblo banget! dah","Astaga, kamu tidak punya pasangan sekali!"
"Aduh yhaa, kamu baper banget!...","Astaga, saudara terlalu sensitif sekali!"
"Aduh anjir, kamu galau banget!!","Astaga, saudara sedih sekali!"
"Aduh njir, elo santuy banget!!","Astaga, kamu santai sekali!"
"Aduh wkwk, lu gemoy banget!!","Astaga, Anda menggemaskan sekali!."
"Aduh wkwk, ente ambyar banget!!","Astaga, saudara hancur sekali!"
ente unfriend banget dah,saudara hapus pertemanan sekali
"Aduh wkwk, lu gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh siap, ente gemoy banget!!","Astaga, saudara menggemaskan sekali!."
"Aduh siap, elo alay banget!","Astaga, Anda norak sekali!."
"Aduh yhaa, elo gercep banget!...","Astaga, saudara cepat sekali!."
"Aduh dah, kamu ambyar banget!...","Astaga, kamu hancur sekali!."
"Aduh deck, elo syulit banget!!","Astaga, Anda sulit sekali!!"
"Aduh waduh, ente cepet banget! dah","Astaga, Anda cepat sekali!!"
"Aduh waduh, kamu gabut banget!","Astaga, Anda tidak produktif sekali!"
